Sıra No,İşletme Adı,Tesis İli,Lisans Konuları
34,TURYAM GERİ KAZANIM ATIKTAN TÜRETİLMİŞ YAKIT Depolama LOJİSTİK PETROL ÜRÜNLERİ İNŞAAT MEDİKAL TURİZM SANAYİ VE TİCARET LİMİTED ŞİRKETİ,MERSİN, Atık Ara Depolama
34,TURYAM GERİ KAZANIM ATIKTAN TÜRETİLMİŞ YAKIT Depolama LOJİSTİK PETROL ÜRÜNLERİ İNŞAAT MEDİKAL TURİZM SANAYİ VE TİCARET LİMİTED ŞİRKETİ,MERSİN, Atıktan Türetilmiş Yakıt (ATY) Hazırlama Tesisi
35,DEDEMAN MADENCİLİK SANAYİ VE TİC. A.Ş. ÇADIRKAYA FLOTASYON TESİSİ ŞUBESİ,KAYSERİ,Maden Atığı Bertaraf- Depolama Kategori
36,EKOVAR ÇEVRE GRUP GERİ DÖNÜŞÜM ATIK Depolama İNŞAAT TAAHHÜT SANAYİ VE TİCARET ANONİM ŞİRKETİ,ANKARA,Atık Ara Depolama
37,HAŞİMOĞLU ÇEVRE ENTEGRE ATIK YÖNETİMİ GERİ DÖNÜŞÜM MADENCİLİK TAŞIMACILIK İNŞAAT GIDA TURİZM TEKSTİL OTOMOTİV PETROL ISITMA SOĞUTMA DOĞALGAZ SİSTEMLERİ TİCARET VE SANAYİ ANONİM ŞİRKETİ,MARDİN,Tehlikeli Atık Geri Kazanımı
37,HAŞİMOĞLU ÇEVRE ENTEGRE ATIK YÖNETİMİ GERİ DÖNÜŞÜM MADENCİLİK TAŞIMACILIK İNŞAAT GIDA TURİZM TEKSTİL OTOMOTİV PETROL ISITMA SOĞUTMA DOĞALGAZ SİSTEMLERİ TİCARET VE SANAYİ ANONİM ŞİRKETİ,MARDİN,Tehlikesiz Atık Geri Kazanımı
37,HAŞİMOĞLU ÇEVRE ENTEGRE ATIK YÖNETİMİ GERİ DÖNÜŞÜM MADENCİLİK TAŞIMACILIK İNŞAAT GIDA TURİZM TEKSTİL OTOMOTİV PETROL ISITMA SOĞUTMA DOĞALGAZ SİSTEMLERİ TİCARET VE SANAYİ ANONİM ŞİRKETİ,MARDİN, Ömrünü Tamamlamış Lastik Geri Kazanımı
37,HAŞİMOĞLU ÇEVRE ENTEGRE ATIK YÖNETİMİ GERİ DÖNÜŞÜM MADENCİLİK TAŞIMACILIK İNŞAAT GIDA TURİZM TEKSTİL OTOMOTİV PETROL ISITMA SOĞUTMA DOĞALGAZ SİSTEMLERİ TİCARET VE SANAYİ ANONİM ŞİRKETİ,MARDİN, Ambalaj Atığı Geri Kazanımı
37,HAŞİMOĞLU ÇEVRE ENTEGRE ATIK YÖNETİMİ GERİ DÖNÜŞÜM MADENCİLİK TAŞIMACILIK İNŞAAT GIDA TURİZM TEKSTİL OTOMOTİV PETROL ISITMA SOĞUTMA DOĞALGAZ SİSTEMLERİ TİCARET VE SANAYİ ANONİM ŞİRKETİ,MARDİN, Ömrünü Tamamlamış Araç Geçici Depolama
37,HAŞİMOĞLU ÇEVRE ENTEGRE ATIK YÖNETİMİ GERİ DÖNÜŞÜM MADENCİLİK TAŞIMACILIK İNŞAAT GIDA TURİZM TEKSTİL OTOMOTİV PETROL ISITMA SOĞUTMA DOĞALGAZ SİSTEMLERİ TİCARET VE SANAYİ ANONİM ŞİRKETİ,MARDİN, Tanker Temizleme
37,HAŞİMOĞLU ÇEVRE ENTEGRE ATIK YÖNETİMİ GERİ DÖNÜŞÜM MADENCİLİK TAŞIMACILIK İNŞAAT GIDA TURİZM TEKSTİL OTOMOTİV PETROL ISITMA SOĞUTMA DOĞALGAZ SİSTEMLERİ TİCARET VE SANAYİ ANONİM ŞİRKETİ,MARDİN, Hurda Metal /ÖTA İşleme
